"preparations","reps"
"skull plates, associated",1
"skull plate w/ scales",1
"skull plate w/ tooth sockets",1
"SKULL PORTION",1
"SKULL PORTIONS",1
"SKULL & PORTIONS OF SKELETON.",1
"SKULL, POSTCRANIAL, ASSOCIATED",1
"skull, postcranial frags",1
"SKULL & POSTCRANIAL FRAGS",1
"SKULL & POSTCRANIAL PARTS, ASSOCIATED",1
"SKULL & POSTCRANIALS",1
"SKULL,POSTCRANIAL SKELETON",1
"SKULL & POSTCRANIAL SKELETON IN NODULES",1
"SKULL & POSTCRANIAL SKELETON, PARTIAL | Cast",1
"SKULL & POSTCRANIAL SKELETON SEEN IN VENTRAL VIEW; MINUS TAIL | Cast",1
"skull, posterior half",1
"SKULL POSTERIOR HALF",1
"SKULL,POST LWR MANDIBLE",1
"SKULL PRESERVED MOSTLY AS IMPRESSION",1
"skull pt.",1
"skull pts., roof - inside",1
"SKULL & RADIUS FRAGS",1
"SKULL, RADIUS, SCAPULA & FEMUR FRAGS, CERVICAL VERTEBRA, TOOTH",1
"SKULL,RADIUS,ULNA",1
"SKULL, R AND L DENTARY",1
"skull+r and left dentary, juvenile w milk dentition",1
"Skull, RC1/, RM1-3/, LP2-M3/",1
"SKULL & R DENTARY",1
"SKULL,R DENTARY,ANT L DENTARY",1
"skull, r dentary, femur, ulna, humerus, radius,",1
"skull, R dentary, humerus, radius, scapula, tibia+fibula",1
"SKULL,R DENTARY,HYOID FRAG",1
"SKULL,R DENTARY,TOOTH",1
"SKULL+R DENTARY+VERTEBRA+RIB+HUMERUS",1
"SKULL,R DENTARY,VERTEBRA,RIB,INNOMINATE,HUMERUS,ULNA,FEMUR,TIBIA,FIBULA",1
"Skull,R Dentary W/ I1-M1,R+L C1/",1
"skull, R dentary w m1, L dentary w p4-m1",1
"SKULL,R HIND LIMB",1
"skull, R humerus, cervical and thoracic verts",1
"SKULL,RIB,HUMERUS",1
"skull, ribs",1
"skull, ribs, cervical+thoracic vertebrae, left forelimb",1
"SKULL, RIBS & FOOT BONES",1
"skull+right and left dentaries",1
"SKULL & R JAW",1
"SKULL, R JAW",1
"SKULL, R JAW, 2 L JAWS",1
"SKULL, R JAW, 2 L JAWS, M/3",1
"SKULL; R JAW EDENTULOUS; ASSOCIATED",1
"SKULL, R JAW, L FEMUR, PARIETAL FRAG",1
"SKULL & R JAW RAMUS",1
"SKULL, R JAW RAMUS",1
"SKULL & R JAW RAMUS | Cast",1
"SKULL, R JAW RAMUS, L JAW RAMUS",1
"SKULL,R+L DENT19Y",1
"skull + r+l dentaries",1
"skull+r+l dentaries",1
"skull, R+L dentaries",1
"skull,R+L dentaries",1
"SKULL+r+l dentaries",1
"skull, r+l dentaries, atlas, axis, 1st cervical vert",1
"skull, R+L dentaries, L ant limb bones",1
"skull+r+l dentaries+r asc ramus",1
"skull, R+L dentaries, vertebrae, ribs, innominate",1
"Skull,R+L Dentary",1
"SKULL + R+L DENTARY",1
"SKULL,R & L DENTARY",1
"SKULL,R+L DENTARY,3 CERVICAL VERTEBRA",1
"skull, R+L dentary, ant limbs",1
"skull+r+l dentary+assoc postcrania",1
"SKULL,R+L DENTARY,ATLAS,AXIS,CERVICAL VERTEBRAE",1
"SKULL,R+L DENTARY,ATLAS,AXIS,HYOID",1
"SKULL,R+L DENTARY,ATLAS-CERVICAL 4",1
"SKULL,R+L DENTARY, CERVICAL+ANT THORACIC VERTEBRA",1
"SKULL,R+L DENTARY,CERVICAL VERTEBRA",1
"SKULL,R+L DENTARY,CERVICAL VERTEBRAE",1
"skull, r+l dentary, cerv. vertebrae, l clavicle, l scapula, l humerus, l metacarpals, phalanges, ribs",1
"SKULL,R+L DENTARY,FEMUR",1
"SKULL,R+L DENTARY,FEMUR,INNOMINATE",1
"SKULL,R+L DENTARY,FORE+HIND LIMBS,BONE FRAG",1
"skull,R+L DENTARY FRAGS",1
"SKULL,R+L DENTARY,HYOID",1
"SKULL, R+L DENTARY, INCOMPL SKELETON",1
"SKULL,R+L DENTARY,INNOMINATE,SACRAL VERTEBRA",1
"SKULL,R+L DENTARY,LIMB BONE",1
"SKULL,R+L DENTARY,LIMB BONES,VERTEBRAE",1
"SKULL,R+L DENTARY,MANUS,RADIUS",1
"SKULL,R+L DENTARY,PODIALS,ATLAS",1
"skull, R+L dentary, radius, ulna",1
"SKULL,R+L DENTARY,R HUMERUS,L PROX HUMERUS,L PROX ULNA,L PROX RADIUS",1
"SKULL,R+L DENTARY,SCAPULA,FEMORA,INNOMINATE,RIBS",1
"SKULL,R+L DENTARY,SKELETON",1
"SKULL, R & L DP3/-P4/",1
"skull, r+l lower jaws, pectoral girdles",1
"SKULL, R+L LOWER MANDIBLE",1
"SKULL, R+L LWR MANDIBLE",1
"skull, R+L lwr mandible, cerivical vertebrae 1-3",1
"SKULL,R+L LWR MANDIBLE,CERVICAL VERTEBRAE",1
"SKULL, R+L LWR MANDIBLE, INCOMPL SKELETON",1
"SKULL,R+L LWR MANDIBLE,OSTEODERMS,VERTERAE,RIBS",1
"SKULL,R+L LWR MANDIBLES",1
"SKULL,R+L LWR MANDIBLES,ANT CARAPACE,LIMB BONES",1
"SKULL, R+L LWR MANDIBLES, INCOMPL SKELETON",1
"SKULL,R+L LWR MANDIBLES,PECTORAL GIRDLE",1
"SKULL,R+L LWR MANDIBLE,VERTEBRAE",1
"SKULL, R+L LWR MANDIBLE, VERTEBRAE, LIMB BONE",1
"skull,R+L lwr mndble, R+L humeri,scapulocoracoid,3 peripherals+ frags",1
"SKULL, R & L M1/-M2/-M3/",1
"SKULL: R & L M1/-M3/",1
"SKULL: R & L M2/-M3/",1
"SKULL: R & L M3/",1
"Skull,R+L Mandible",1
"SKULL,R+L MANDIBLES,CERVICAL VERTEBRAE",1
"skull, R+L mandibles, incompl vertebrae",1
"SKULL,R+L MANDIBLES,LIMBS,CERVICAL VERTEBRAE",1
"skull, r+l mandibles, misc. postcrania",1
"skull, R&L mandibles, pectoral girdles",1
"skull, R+L mandibles, R+L manus + pes, some skin",1
"SKULL,R+L MANDIBLE,THORACIC VERTEBRAE",1
"SKULL, R + L MANDIBLE, VERTEBRAE, OSTEODERMS",1
"SKULL,R & LP4-M2",1
"SKULL,R&L P4-M3",1
"SKULL, R & L P4/-M3/; JAW, R & L P/3-M/3; JUVENILE",1
"SKULL, R M1/-M2/, PART M3/, L M1/-M2/",1
"SKULL, R M1/-M3/, L M2/-M3/",1
"SKULL, R M1/-M3/; PARATYPE",1
"Skull, RM2-3/, LC1/, P2-M3/",1
"SKULL, R M2/, L M1/",1
"SKULL, R MAX, 2 R JAWS",1
"skull roof",1
"Skull roof",1
"SKULL ROOF ?",1
"SKULL ROOF, 3 PIECES",1
"SKULL ROOF AND PARTIAL BODY, A+B",1
"SKULL ROOF, BABY, A+B",1
"SKULL ROOF BONES, A+B",1
"SKULL ROOF, DORSAL ASPECT",1
"SKULL ROOF FRAGMENT",1
"SKULL ROOF FRAG WITH R ORBIT MARGIN",1
"SKULL ROOF, HEAD",1
"SKULL ROOF, IN COUNTERPART",1
"SKULL ROOF IN DORSAL VIEW",1
"SKULL ROOF IN VENTRAL VIEW",1
"SKULL ROOF & PARASPHENOID, A+B",1
"SKULL ROOF & PART BODY, NC",1
"SKULL ROOF & PART OF SKELETON",1
"SKULL ROOF, P+C",1
"SKULL ROOF; UNASSOCIATED PATCHES OF SCALES, A+B",1
"SKULL ROOF & UROHYAL, A+B",1
"SKULL ROOF WITH HORN CORES | Cast",1
"skull, rostral fragment, left and right petrosals, left malleus incus and stapes, left tympanic, right jugal, caudal vertebra",1
"skull (rostral portion)",1
"SKULL & R P/1, R P/2, L M/1 (SLICED IN 3 PIECES), L P/2 & MOLAR ROOTH | Cast",1
"Skull, RP3-M3, LP2-M3/",1
"SKULL, R P3/-M3/, L P3/-M2/",1
"SKULL, R P3/-M3/, L P4/-M3/",1
"SKULL, R P4/-M1/-M2/, L M1/-M2/; JAW, L M/1-M/2; EDENTULOUS JAW",1
"SKULL, R P4/-M1/-M2/-M3/, L M1/-M2/-M3/; JAW, L & R M/1-M/2-M/3; ASSOCIATED",1
"SKULL, R P4/-M2/, L M1/-M2/? | Cast",1
"SKULL, R P4/-M3/; JAWS, L M/1-M/3; R M/1, R M/3",1
"SKULL, R UPPER CHEEK TEETH & ANTERIOR UPPER TEETH IN GOOD CONDITION",1
"skulls",1
"skull+scale frags",1
"SKULL & SCALES, A+B",1
"SKULL,SCAPULA",1
"skull, scapula, incompl pes",1
"SKULL,SCAPULA,VERTEBRA,TEETH,HUMERUS,ULNA,RADIUS,PHALANGES",1
"SKULL SCRAP",1
"SKULL & SCUTES",1
"SKULL, SCUTES",1
"SKULL,SCUTES,POSTCRANIALBONES",1
"SKULL - SEE CM 15763",1
"SKULL - SEE CM 15764",1
"SKULL SEEN DORSOLATERALLY, A+B; 4 SEPARATE PIECES",1
"SKULL & SERIES OF RIBS PRESERVED IN AESTIVATION BURROW",1
"SKULL & SEVERAL VERTEBRAE",1
"SKULLS,FEMUR,TARSOMETATARSUS,CORACOID",1
"SKULLS,FRAGS",1
"SKULL,SHELL",1
"skull, shell and postcrania",1
"SKULL, SHOULDER GIRDLE, A+B",1
"SKULL; SHOULDER GIRDLE; FRONT LIMBS IN VENTRAL VIEW | Cast",1
"skulls+jaws, approx 14 individuals",1
"SKULLS & JAWS FOUND ARTICULATED",1
"SKULLS; JAWS; LIMB BONES; ETC. OF VARIOUS INDIVIDUALS FOUND TOGETHER",1
"SKULLS & JAWS, VARIOUS",1
"skull + skeletal frags",1
"SKULL, SKELETAL FRAGS | Cast",1
"SKULL & SKELETAL FRAGS, TEETH",1
"SKULL, SKELETAL PARTS",1
"SKULL & SKELETAL PARTS, MAX T#/, PARTIAL JAW WITH T/#",1
"Skull + Skeleton",1
"SKULL, SKELETON",1
"SKULL & SKELETON, ARTICULATED & COMPLETE EXCEPT FOR CAUDAL CENTRAL 9,10,11, L ILIUM, L ISCHIUM, & SOME OF RIBS ON LEFT SIDE; JUVENILE",1
"SKULL & SKELETON, ARTICULATED & COMPLETE EXCEPT FOR THE TAIL",1
"SKULL & SKELETON, ESSENTIALLY COMPLETE | Cast",1
"SKULL & SKELETON FRAG ?, 2 RIB FRAGS",1
"SKULL+SKELETON FRAGS",1
"SKULL+SKELETON INCOMPL",1
"SKULL & SKELETON; JAWS",1
"SKULL & SKELETON TO & INCLUDING ANTERIOR CAUDAL REGION",1
"SKULL,SKULL FRAG,L DENTARY",1
"SKULL, SLIGHTLY DISRUPTED",1
"SKULL, SMALL FRAGS",1
"SKULLS,MANDIBLE,TEETH,FEMUR",1
"skull & some vertebrae",1
"SKULLS & OTHER MATERIAL",1
"skulls, partial and complete",1
"SKULLS & SKULL FRAGS",1
"SKULL, STILL IN FIELD WRAPPINGS",1
"skull (subfossil); skull (subfossil) sample; skull (subfossil) sample; skull (subfossil) sample; skull (subfossil) sample",1
"SKULLS,VERTEBRAE,I1-P2/,FEMUR FRAGS,DENTARY W SYMPHYSIS,C/,/I1-I3",1
"SKULLS,VERTEBRAE,LIMB BONES",1
"SKULL TABLE & CLAVICLE, IN COUNTERPART",1
"SKULL TABLE, DORSAL ASPECT; MAX, R MANDIBLE",1
"SKULL TABLE IN VENTRAL VIEW",1
"SKULL TABLE; OTHER SKULL BONES JUMBLED; HALF OF OPERCULUM",1
"SKULL TABLE; PECTORAL GIRDLE; THORACIC COLUMN; GASTRALIA",1
"SKULL,TEETH/",1
"SKULL,TEETH,P2/,M2/",1
"SKULL, TEETH POORLY PRESERVED & ARCHES BROKEN OFF",1
"SKULL, TEETH, VERTEBRAE, LIMB & FOOT BONE FRAGS, ETC.",1
"SKULL, T/# FRAGS",1
"skull, three vertebrae",1
"SKULL,TIBIA,CALCANEUM,PHALANX",1
"SKULL; TIBIA; FORE & HIND FOOT FRAGS",1
"SKULL,TIBIA,LIMB BONE FRAGS",1
"skull  to Eleanor?",1
"SKULL & TOOTH FRAGS, IMPRESSIONS OF UPPER & LOWER TEETH",1
"SKULL TOP+FRAGS",1
"SKULL TOP WITH NASALS & OCCIPITAL CREST COMPLETE",1
"skull; type of Navajosuchus novomexicanus",1
"skull, ulna, foot elements",1
"SKULL,ULNA,PHALANX",1
"skull (unknown); other (unknown)",1
"skull (unknown); skull (dry); skin (dry)",1
"SKULL & VARIOUS PARTS, JUVENILE",1
"SKULL,VERTEBRA,BONE FRAGS",1
"SKULL,VERTEBRA COLUMN",1
"skull, vertebrae",1
"skull+vertebrae",1
"SKULL, VERTEBRAE",1
"skull, vertebrae (9), dermal osteoscutes",1
"SKULL,VERTEBRAE,DENTARY,ATLAS",1
"SKULL, VERTEBRAE FRAGS",1
"SKULL, VERTEBRAE, HUMERUS",1
"skull, vertebrae, hyoid frags",1
"SKULL; VERTEBRAE & LIMB BONE FRAGS",1
"skull+vertebrae+limb bones",1
"SKULL, VERTEBRAE & LIMB BONES",1
"SKULL,VERTEBRAE,LIMB BONES",1
"SKULL, VERTEBRAE, LIMB FRAGS & COMPLETE SET OF TARSAL BONES",1
"SKULL, VERTEBRAE, PARTIAL PELVIS, JAWS, FRAGS",1
"SKULL,VERTEBRAE,PERIOTICUM,ZYGOMATIC",1
"SKULL, VERTEBRAE, RIBS",1
"SKULL, VERTEBRAL COLUMN",1
"SKULL,VERTEBRA,LIMB,CARAPACE",1
"SKULL,VERTEBRA+LIMBS",1
"SKULL,VERTEBRA,RIBS",1
"SKULL,VERTEBRA,SCUTES",1
"SKULL, VERY GOOD",1
"SKULL, VERY GOOD CONDITION",1
"SKULL VERY INCOMPLETE, NC",1
"skull w all teeth, r dentary w p2-m3 + misc bone",1
"SKULL, WARD SYST. PAL. COLL. | Cast",1
"skull w attached left dentary+right dentary w p4-m3",1
"skull w attached L+R dentaries",1
"skull w attached r+l dentaries",1
"skull w/ both P4's",1
"SKULL W BULLA",1
"SKULL W C1-M1",1
"SKULL W C1+P2-M4",1
"SKULL W C+DP1-DP4+M1-M3",1
"SKULL W C+DP1-M2",1
"SKULL W C+DP2-DP4,M1",1
"SKULL W C-M3,DENTARY W I1-M3,PROX RADIUS+ULNA",1
"SKULL W C-P1+DP2-DP4+M1-M2",1
"SKULL W C+P1+P3-M3,DENTARY W I1-M3",1
"SKULL W C+P3-M3",1
"SKULL W C+P4-M1,PETROSAL",1
"SKULL W C+P4-M3",1
"skull w dentaries attached",1
"SKULL W DENTARIES,POSTCRANIAL BONES",1
"SKULL W DENTARY+C/",1
"SKULL W DENTARY FRAGS",1
"SKULL W DP2-DP4+M1-M2",1
"SKULL W DP2-M1/",1
"SKULL W DP3-M1/",1
"SKULL, WELL PRESERVED BUT DISTORTED",1
"SKULL W HORN CORES",1
"SKULL W I1-C+P2-M2",1
"SKULL W I1-M1,DENTARY W I1-M1",1
"SKULL W I1-M3,DENTARY W I1-M3,CERVICAL VERTEBRAE 1-4",1
"SKULL W I1-M3,DENTARY W I1-M3,RADIUS,ULNA",1
"SKULL W I1-M3,DENTARY W P1-M3",1
"SKULL W I1-M3,FEMUR,RADIUS,SCAPULA,VERTEBRAE,SACRUM",1
"SKULL W I3+C+P1-M3",1
"SKULL W I3-C+P4-M1",1
"SKULL W I3-M3,DENTARY W C-M3",1
"SKULL W I+C+CHEEK TOOTH",1
"SKULL W I+C+P4-M3,DENTARY W P3-M2",1
"SKULL W I,L M1-M2",1
"SKULL W INCOMPL R P2-M3 + L P2-M3",1
"SKULL W I+P4-M3",1
"SKULL WITH ALL T#/",1
"SKULL WITH ALL T#/, 2 JAWS WITH T/#",1
"SKULL WITH ALL T#/, ENCASED IN FLOWSTONE",1
"SKULL WITH ALL T#/, MINUS ZYGOMATICS",1
"SKULL WITH ALL T#/, SKELETAL PARTS",1
"SKULL WITH ALL T#/, VARIOUS SKELETAL FRAGS",1
"SKULL WITH ALMOST ALL T#/, FEW SKELETAL FRAGS",1
"SKULL WITH ALMOST ALL T#/; JAW, M/#; LIMB BONES, FRAGS",1
"SKULL WITH ALMOST COMPLETE DENTITION",1
"SKULL WITH ANTERIOR, 1 ARCH & CREST BROKEN",1
"SKULL WITH ANTLERS",1
"SKULL WITH ARTICULATED JAWS, SEEN VENTRALLY",1
"skull with articulated mandible",1
"SKULL WITH ASSOCIATED JAWS; 2 DORSAL VERTEBRAE",1
"SKULL WITH ASSOCIATED JAWS & PARTIAL SKELETON",1
"SKULL WITH BOTH HORN CORES",1
"SKULL WITH BULLAE",1
"SKULL WITH CHEEK T#/, NATURAL ENDOCAST",1
"SKULL WITH CHEEK T#/, R P3/-P4/-M1/, L P3/-P4/-M1/-M2/-M3/, NATURAL ENDOCAST",1
"SKULL WITH DP2/-DP4/ & UNWORN M1/, JUVENILE",1
"SKULL WITH FEMUR",1
"SKULL WITH FRONTAL BONE + P#/",1
"SKULL WITH GOOD TOP",1
"SKULL WITH GOOD TOP & POOR T#/",1
"SKULL WITH HORN CORES BROKEN OFF",1
"SKULL WITH HORNS | Cast",1
"SKULL WITH JAW",1
"SKULL WITH JAWS & DISARTICULATED APENDICULAR ELEMENTS",1
"SKULL WITH JAWS IN PLACE",1
"skull with labelled bones",1
"skull with labelled foramina and bones",1
"SKULL WITH L C#/, R C#/, L P4/-M2/, R P4/-M2/",1
"SKULL WITH L DENTITION",1
"skull with LI1,LP4-M3, RP4-M3",1
"SKULL WITH L JAW, R M1/-M3/, L M1/-M3/, L M/1-M/3",1
"SKULL WITH L M1/-M2/",1
"SKULL WITH L M/1-M/2-M/3 & R M/1-M/2-M/3-M/4",1
"SKULL WITH L M1/-M3/, R M1/-M3/; TIBIA",1
"SKULL WITH L P3/-M1/ & I#/, R P3/-M1/ & I#/",1
"SKULL WITH L P3/, M3/; FEMUR FRAG",1
"SKULL WITH L P4/-M2/, R P4/-M2/, MINUS ZYGOMA",1
"skull with LP4-M3, RP3-M2, no bullae or occiput",1
"SKULL WITH L T#/",1
"SKULL WITH M#/",1
"SKULL WITH MOST T#/ | Cast",1
"SKULL, WITH PARTIAL COUNTERPART, A+B",1
"SKULL WITH PARTIAL LOWER JAW",1
"SKULL WITH PARTIAL MAX",1
"SKULL WITH PARTIAL R JAW | Cast",1
"SKULL WITH PART OF CERVICAL SERIES IN PLACE, JAWS",1
"Skull (with rib and matrix embedded)",1
"skull with right P3/-M3/+left dentary w partial m2-m3+right dentary w p4-m3",1
"SKULL WITH R I#/ & M1/-M3/",1
"skull with r+l M1-M3",1
"SKULL WITH R & L P2/-M1/",1
"SKULL WITH R & L P4/ + ASSOCATED SKULL FRAGS, SUTURES DISTINCT, TEETH SLIGHTLY WORN",1
"Skull with R+L P4M3",1
"SKULL WITH R P3/-M1/ & L P2/-M1/",1
"SKULL WITH R P3/-M1/, L P4/-M1/",1
"SKULL WITH R P4/-M3/, L M1/-M3/",1
"SKULL WITH SOME POSTCRANIAL ELEMENTS",1
"SKULL WITH TEETH, CRANIAL SPINE. PART AND COUNTERPART",1
"SKULL WITH TEETH. PART AND COUNTERPART",1
"SKULL WITH T#/ WORN SMOOTH",1
"SKULL WITH VOMERS, NC",1
"skull w left P4/-M1/",1
"Skull w L Incisor, L & R M3; L Dentary w M1",1
"SKULL W L M1-M2",1
"SKULL W L M1-M3+R M2-M3",1
"SKULL W L M2",1
"SKULL W L P3-M1+R P3-M3",1
"SKULL W L P4-M1",1
"SKULL W L+R M1-3",1
"SKULL w l+r P2/-M1/",1
"skull w l+r P4-M3",1
"SKULL W L TYMPANUM",1
"SKULL W M1 FRAG",1
"SKULL W M1,LIMB BONES",1
"SKULL W M1-M2+BASICRANIUM",1
"SKULL W M1-M2+BULLAE",1
"SKULL W M1-M3,BULLA",1
"SKULL W M1-M3,DENTARY W M2-M3",1
"SKULL W M1-M3,DENTARY W P4-M3,LIMB BONES",1
"SKULL W M1-M3,DENTARY W P4-M3,POSTCRANIAL BONES",1
"SKULL W M1-M3,DENTARY W ROOTS,BULLAE",1
"SKULL W M1-M3,DIST FEMUR,DIST FIBULA,METAPODIAL",1
"SKULL W M2-3",1
"SKULL W M2-M3+BASICRANIUM",1
"SKULL W M2-M3+BULLAE",1
"SKULL W MANDIBLES, SCAPULOCORACOID, 2 DERMAL SCUTES",1
"SKULL W M,DENTARY W M",1
"SKULL WMPL DENTITION",1
"skull w/out teeth",1
"SKULL W P1-M2,DENTARY W P1-M3",1
"SKULL W P1-M2,DENTARY W P2-M3",1
"SKULL W P1-M3,DENTARY W I1-M3",1
"SKULL W P1-P3+M1-M3",1
"SKULL W P2-M1,DENTARY W P3-M1",1
"SKULL W P2-M2",1
"SKULL W P2-M3,DENTARY W C-M3",1
"SKULL W P3+M3",1
"SKULL W P3-M4",1
"SKULL W P4+BULLAE",1
"SKULL W P4,CERVICAL VERTEBRA,DENTARY,M FRAG,P FRAG",1
"SKULL W P4,DENTARY W P4,CERVICAL VERTEBRA",1
"SKULL W P4 FRAG",1
"SKULL W P4-M1+BULLAE,DENTARY W P4-M3,FEMUR,TIBIA,FIBULA",1
"SKULL W P4-M1,DENTARY W P4,BULLAE",1
"SKULL W P4-M1,DENTARY W P4-M1",1
"SKULL W P4-M1 FRAGS",1
"SKULL W P4-M1+M3",1
"SKULL W P4-M1+M3,VENTRAL SKULL",1
"SKULL W P4-M2,DENTARY W P4-M1",1
"SKULL W P4-M2DENTARY W P4-M3",1
"SKULL W P4+M2-M3",1
"SKULL W P4+M2-M3,SCAPULA FRAG,PROX TIBIA,CERVICAL VERTEBRAE",1
"SKULL W P4-M2,R DENTARY W P4-M2",1
"SKULL W P4-M3+BASICRANIUM",1
"SKULL W P4-M3+BASICRANIUM,R DENTARY W P4,INCOMPL SKELETON",1
"SKULL W P4-M3+BULLA",1
"SKULL W P4-M3+BULLAE,DENTARY W M2-M3",1
"SKULL W P4-M3+BULLAE,DENTARY W P4,HUMERUS",1
"SKULL W P4-M3+BULLAE,DENTARY W P4-M2,ATLAS",1
"SKULL W P4-M3+BULLAE,DENTARY W P4-M3",1
"SKULL W P4-M3+BULLAE,DENTARY W P4-M3,AXIS,CERVICAL VERTEBRAE,",1
"SKULL W P4-M3+BULLAE,EDENTULOUS DENTARY",1
"SKULL W P4-M3+BULLAE,HUMERUS,RADIUS,ULNA,SCAPULA",1
"SKULL W P4-M3+BULLAE,R+L DENTARY W P4-M3,RADIUS,ULNA,CERVICAL",1
"SKULL W P4-M3+BULLAE,TIBIA FRAG",1
"SKULL W P4-M3,DENTARY,BULLAE,VERTEBRA,PROX+DIST FEMUR,TIBIA",1
"SKULL W P4-M3+DENTARY W M1,BULLA",1
"SKULL W P4-M3,DENTARY W M1-M3,HUMERUS,DIST FEMUR",1
"SKULL W P4+M3,DENTARY W P4-M3",1
"SKULL W P4-M3,DENTARY W P4-M3,CERVICAL VERTEBRA,METAPODIAL",1
"SKULL W P4-M3,DENTARY W P4-M3,DIST FEMUR,PROX TIBIA,DIST",1
"SKULL W P4-M3,DENTARY W P4-M3,FEMUR",1
"SKULL W P4-M3,DENTARY W P4-M3,HUMERUS,RADIUS,ULNA",1
"SKULL W P4-M3,DENTARY W P4-M3,RADIUS,ULNA,HUMERUS,CERVICAL",1
"SKULL W P4-M3,DENTARY W P4-M3,SKELETON",1
"SKULL W P4-M3,DENTARY W P4-M3,ULNA,PHALANX,VERTEBRA,TIBIA+FIBULA,FEMUR,INNOMINATE,METAPODIAL",1
"SKULL W P4-M3,FEMUR,DENTARY W P4-M1,BONE FRAGS",1
"SKULL W P4-M3,HUMERUS,RADIUS,ULNA,RIBS,SCAPULA",1
"SKULL W P4-M3,L DENTARY W P4-M3,DIST PHALANX",1
"SKULL W P4-M3,R DENTARY W P4-M2",1
"SKULL W P4-M3,R+L DENTARY W P4-M3",1
"SKULL W P4-M3,VERTEBRA",1
"Skull w/palate +splanchnocranium +partial shoulder",1
"SKULL W PARTIAL SKELETON",1
"SKULL W R C1/,R+L P2-M3/",1
"skull w r dentary",1
"skull w/RI1-P2, P4-M3, LI1-M1, M3",1
"skull w r+l C-M2",1
"SKULL W R + L C-M3",1
"skull w r+l dentaries",1
"SKULL W R+L DENTARY",1
"skull w r+l I3, r+l C, P1-M3",1
"skull w r+l P1-M3/",1
"skull w r+l P1-M3 + l dentary w p3-m3 + atlas",1
"SKULL W R+L P4-M3,DENTARY",1
"skull w r+l P and M",1
"SKULL W R M1-M3,L M1-M2",1
"SKULL W R M3",1
"skull w r P1-M3/, l P2-M3/",1
"skull w r P2, P4, M2 + l P2-P4, M2-M3 and r dentary w p4-m1, m3",1
"SKULL W R P4-M1",1
"SKULL W R P4-M2+L BULLA",1
"SKULL W STAPES",1
"Skull w/ teeth",1
"SKULL W TUSK+P4-M3",1
"SKULL W VERTEBRAE",1
"skute",1
"SLAB MOUNT OF COMPLETE SKELETON | Cast",1
"SLAB OF MATRIX CONTAINING 3 FOSSIL FISH",1
"SLAB OF MORTALITY LAYER, A+B",1
"SLAB OF ROCK WITH ARMORED FRESHWATER FISH",1
"slab of scales",1
"slab w/ fin spines",1
"slab w/ fin spines, scales, plates and teeth",1
"slab with 4 whole and 4 partial fish",1
"slab with five tracks",1
"slab with many fish",1
"slab with three tracks",1
"slab w/ tracks",1
"Slide - 11; Slide - 1",1
"Slide - 12",1
"Slide - 13",1
"Slide - 14",1
"Slide - 1; Dry - 0",1
"Slide - 1; Dry - 1",1
"Slide - 1; Dry - 16",1
"slide - 1; Permienralization - 1",1
"slide - 1; Permineralization - 12",1
"slide - 1; Permineralization - 14",1
"slide - 1; Permineralization - 22",1
"slide - 1; Permineralization - 39",1
"slide - 1; Permineralization - 438",1
"slide - 1; Permineralization - 507",1
"slide - 1; Permineralization - 90",1
"Slide - 1; Slide - 1",1
"Slide - 1; Slide - 1; Slide - 1",1
"Slide - 1; Slide - 5",1
"Slide - 1; Slide - 7",1
"Slide - 21",1
"Slide - 2; Cast - 1; Cast - 5",1
"Slide - 2; Dry - 2",1
"slide - 2; Permineralization - 1",1
"slide - 2; Permineralization - 208",1
"slide - 2; Permineralization - 7",1
"Slide - 2; Slide - 1",1
"Slide - 46",1
"Slide - 5; Dry - 11",1
"Slide - 9",1
"Slide - 9; Acetate peel - 1; Dry - 1; Photograph - 1; Acetate peel - 1",1
"SLIDES",1
"Slides - 12",1
"Slides - 13",1
"Slides - 1; Permineralization - 5",1
"Slides - 4",1
"Slides - 6",1
"Slides - 7",1
"Slides - 8",1
"Slides; Remnants",1
"Slides; Thin sections with remnants",1
"Slide, Thin Section - 10",1
"Slide, Thin Section - 13",1
"Slide, Thin Section - 14",1
"Slide, Thin Section - 2",1
"Slide, Thin Section - 22",1
"Slide, Thin Section - 31",1
"Slide, Thin Section - 34",1
"Slide, Thin Section - 3; Cataloged - 1",1
"Slide, Thin Section - 5",1
"SLIGHTLY CRUSHED SKULL; MOST OF VERTEBRAE; PELVIS; BOTH HIND LIMBS; DISTAL ENDS OF HUMERI; RIBS; SCAPULAE",1
"slug shell",1
"SMALL ANTERIOR & LARGE POSTERIOR ACCESSORY TUBERCLE, ONE ROOT BROKEN OFF",1
"SMALL ARTICULATED MINUS TIP OF CAUDAL, NC",1
"SMALL ARTICULATED POSTERIOR HEAD TO BEGINING OF CAUDAL; NC",1
"small articulated skel. exc. left hind limb & tail",1
"SMALL ASTRAGALI",1
"SMALL, BENT SPECIMEN",1
"SMALL, BENT SPECIMEN IN FRAME",1
"small bivalve shell?",1
"small block matrix w/ pt. skull, hind foot",1
"small block of matrix w/ lower jaw (& others)",1
"SMALL BODY, A+B",1
"SMALL, BODY ONLY",1
"Small bone frags",1
"small bone or tooth fragments",1
"SMALL BONES",1
"SMALL BONES IN NODULE",1
"SMALL BONES & JAW",1
"SMALL BROAD BASED TOOTH",1
"SMALL CAUDAL",1
"SMALL CENTRUM",1
"SMALL CHEEK BONES",1
"SMALL COCYTINUS-SIZED PARTIAL SKELETON",1
